#\ title = 
#\ xlabel = $M_{\pi^{+},\pi^{-},\pi^{0}}$
#\ ylabel = $M_{\pi^{+},\pi^{-},\eta}$
#\ zlabel = content
#\ nbins_x = 100
#\ nbins_y = 50
#\ x_edge_min = 0.41999999999999993
#\ y_edge_min = 0.9
#\ x_bin_width  = 0.009600000000000053
#\ y_bin_width  = 0.0023999999999999577
#! x_bin_center[f,0]/ y_bin_center[f,1]/ bin_content[f,2]/ bin_error[f,3]/ i_x[i,4]/ i_y[i,5]/  
  0.5015999999999999 0.954 21.0 4.58257569495584  8 22 
  0.5015999999999999 0.9564 18.0 4.242640687119285  8 23 
  0.5015999999999999 0.9588 12.0 3.4641016151377544  8 24 
  0.5015999999999999 0.9611999999999999 11.0 3.3166247903554  8 25 
  0.5015999999999999 0.9636 12.0 3.4641016151377544  8 26 
  0.5015999999999999 0.966 6.0 2.449489742783178  8 27 
  0.5015999999999999 0.9684 2.0 1.4142135623730951  8 28 
  0.5015999999999999 0.9708 5.0 2.23606797749979  8 29 
  0.5015999999999999 0.9732 2.0 1.4142135623730951  8 30 
  0.5015999999999999 0.9756 1.0 1.0  8 31 
  0.5015999999999999 0.978 1.0 1.0  8 32 
  0.5015999999999999 0.9828 1.0 1.0  8 34 
  0.5015999999999999 0.9852 1.0 1.0  8 35 
  0.5112 0.9372 2.0 1.4142135623730951  9 15 
  0.5112 0.9396 1.0 1.0  9 16 
  0.5112 0.942 1.0 1.0  9 17 
  0.5112 0.9444 3.0 1.7320508075688772  9 18 
  0.5112 0.9468 1.0 1.0  9 19 
  0.5112 0.9492 8.0 2.8284271247461903  9 20 
  0.5112 0.9516 9.0 3.0  9 21 
  0.5112 0.954 17.0 4.123105625617661  9 22 
  0.5112 0.9564 12.0 3.4641016151377544  9 23 
  0.5112 0.9588 13.0 3.605551275463989  9 24 
  0.5112 0.9611999999999999 7.0 2.6457513110645907  9 25 
  0.5112 0.9636 10.0 3.1622776601683795  9 26 
  0.5112 0.966 4.0 2.0  9 27 
  0.5112 0.9684 6.0 2.449489742783178  9 28 
  0.5112 0.9708 1.0 1.0  9 29 
  0.5112 0.9732 2.0 1.4142135623730951  9 30 
  0.5112 0.9804 1.0 1.0  9 33 
  0.5112 0.9876 1.0 1.0  9 36 
  0.5112 0.9924 1.0 1.0  9 38 
  0.5208 0.9348 1.0 1.0  10 14 
  0.5208 0.9372 2.0 1.4142135623730951  10 15 
  0.5208 0.942 2.0 1.4142135623730951  10 17 
  0.5208 0.9444 2.0 1.4142135623730951  10 18 
  0.5208 0.9468 4.0 2.0  10 19 
  0.5208 0.9492 10.0 3.1622776601683795  10 20 
  0.5208 0.9516 8.0 2.8284271247461903  10 21 
  0.5208 0.954 10.0 3.1622776601683795  10 22 
  0.5208 0.9564 12.0 3.4641016151377544  10 23 
  0.5208 0.9588 19.0 4.358898943540674  10 24 
  0.5208 0.9611999999999999 17.0 4.123105625617661  10 25 
  0.5208 0.9636 7.0 2.6457513110645907  10 26 
  0.5208 0.966 7.0 2.6457513110645907  10 27 
  0.5208 0.9684 7.0 2.6457513110645907  10 28 
  0.5208 0.9708 2.0 1.4142135623730951  10 29 
  0.5208 0.9732 4.0 2.0  10 30 
  0.5208 0.9756 1.0 1.0  10 31 
  0.5208 0.9828 1.0 1.0  10 34 
  0.5208 1.0019999999999998 1.0 1.0  10 42 
  0.5304 0.9396 1.0 1.0  11 16 
  0.5304 0.9444 1.0 1.0  11 18 
  0.5304 0.9468 1.0 1.0  11 19 
  0.5304 0.9492 4.0 2.0  11 20 
  0.5304 0.9516 12.0 3.4641016151377544  11 21 
  0.5304 0.954 15.0 3.872983346207417  11 22 
  0.5304 0.9564 19.0 4.358898943540674  11 23 
  0.5304 0.9588 17.0 4.123105625617661  11 24 
  0.5304 0.9611999999999999 14.0 3.7416573867739413  11 25 
  0.5304 0.9636 10.0 3.1622776601683795  11 26 
  0.5304 0.966 10.0 3.1622776601683795  11 27 
  0.5304 0.9684 10.0 3.1622776601683795  11 28 
  0.5304 0.9708 4.0 2.0  11 29 
  0.5304 0.9732 2.0 1.4142135623730951  11 30 
  0.5304 0.9756 1.0 1.0  11 31 
  0.5304 0.978 1.0 1.0  11 32 
  0.5304 0.9804 1.0 1.0  11 33 
  0.5304 0.99 1.0 1.0  11 37 
  0.5304 1.0019999999999998 1.0 1.0  11 42 
  0.54 0.9372 1.0 1.0  12 15 
  0.54 0.9396 1.0 1.0  12 16 
  0.54 0.9444 7.0 2.6457513110645907  12 18 
  0.54 0.9468 6.0 2.449489742783178  12 19 
  0.54 0.9492 9.0 3.0  12 20 
  0.54 0.9516 12.0 3.4641016151377544  12 21 
  0.54 0.954 19.0 4.358898943540674  12 22 
  0.54 0.9564 14.0 3.7416573867739413  12 23 
  0.54 0.9588 17.0 4.123105625617661  12 24 
  0.54 0.9611999999999999 13.0 3.605551275463989  12 25 
  0.54 0.9636 10.0 3.1622776601683795  12 26 
  0.54 0.966 6.0 2.449489742783178  12 27 
  0.54 0.9684 10.0 3.1622776601683795  12 28 
  0.54 0.9708 4.0 2.0  12 29 
  0.54 0.9732 4.0 2.0  12 30 
  0.54 0.978 2.0 1.4142135623730951  12 32 
  0.54 0.9804 1.0 1.0  12 33 
  0.54 0.9972 1.0 1.0  12 40 
  0.5496 0.9396 4.0 2.0  13 16 
  0.5496 0.942 2.0 1.4142135623730951  13 17 
  0.5496 0.9444 5.0 2.23606797749979  13 18 
  0.5496 0.9468 5.0 2.23606797749979  13 19 
  0.5496 0.9492 7.0 2.6457513110645907  13 20 
  0.5496 0.9516 13.0 3.605551275463989  13 21 
  0.5496 0.954 19.0 4.358898943540674  13 22 
  0.5496 0.9564 18.0 4.242640687119285  13 23 
  0.5496 0.9588 16.0 4.0  13 24 
  0.5496 0.9611999999999999 19.0 4.358898943540674  13 25 
  0.5496 0.9636 19.0 4.358898943540674  13 26 
  0.5496 0.966 13.0 3.605551275463989  13 27 
  0.5496 0.9684 2.0 1.4142135623730951  13 28 
  0.5496 0.9708 6.0 2.449489742783178  13 29 
  0.5496 0.9732 2.0 1.4142135623730951  13 30 
  0.5496 0.9756 3.0 1.7320508075688772  13 31 
  0.5496 0.978 3.0 1.7320508075688772  13 32 
  0.5496 0.9828 1.0 1.0  13 34 
  0.5496 0.9852 1.0 1.0  13 35 
  0.5496 0.9995999999999999 2.0 1.4142135623730951  13 41 
  0.5592 0.9324 1.0 1.0  14 13 
  0.5592 0.9372 1.0 1.0  14 15 
  0.5592 0.942 3.0 1.7320508075688772  14 17 
  0.5592 0.9444 4.0 2.0  14 18 
  0.5592 0.9468 2.0 1.4142135623730951  14 19 
  0.5592 0.9492 6.0 2.449489742783178  14 20 
  0.5592 0.9516 11.0 3.3166247903554  14 21 
  0.5592 0.954 23.0 4.795831523312719  14 22 
  0.5592 0.9564 31.0 5.5677643628300215  14 23 
  0.5592 0.9588 22.0 4.69041575982343  14 24 
  0.5592 0.9611999999999999 26.0 5.0990195135927845  14 25 
  0.5592 0.9636 12.0 3.4641016151377544  14 26 
  0.5592 0.966 7.0 2.6457513110645907  14 27 
  0.5592 0.9684 5.0 2.23606797749979  14 28 
  0.5592 0.9708 2.0 1.4142135623730951  14 29 
  0.5592 0.9732 1.0 1.0  14 30 
  0.5592 0.9756 3.0 1.7320508075688772  14 31 
  0.5592 0.978 2.0 1.4142135623730951  14 32 
  0.5592 0.99 1.0 1.0  14 37 
  0.5592 1.0019999999999998 1.0 1.0  14 42 
  0.5592 1.0068000000000001 1.0 1.0  14 44 
  0.5688 0.9348 1.0 1.0  15 14 
  0.5688 0.9372 3.0 1.7320508075688772  15 15 
  0.5688 0.9396 2.0 1.4142135623730951  15 16 
  0.5688 0.942 1.0 1.0  15 17 
  0.5688 0.9444 2.0 1.4142135623730951  15 18 
  0.5688 0.9468 6.0 2.449489742783178  15 19 
  0.5688 0.9492 8.0 2.8284271247461903  15 20 
  0.5688 0.9516 19.0 4.358898943540674  15 21 
  0.5688 0.954 19.0 4.358898943540674  15 22 
  0.5688 0.9564 29.0 5.385164807134504  15 23 
  0.5688 0.9588 17.0 4.123105625617661  15 24 
  0.5688 0.9611999999999999 18.0 4.242640687119285  15 25 
  0.5688 0.9636 17.0 4.123105625617661  15 26 
  0.5688 0.966 11.0 3.3166247903554  15 27 
  0.5688 0.9684 2.0 1.4142135623730951  15 28 
  0.5688 0.9708 6.0 2.449489742783178  15 29 
  0.5688 0.9732 1.0 1.0  15 30 
  0.5688 0.978 5.0 2.23606797749979  15 32 
  0.5688 0.9804 2.0 1.4142135623730951  15 33 
  0.5688 0.9995999999999999 1.0 1.0  15 41 
  0.5784 0.9324 1.0 1.0  16 13 
  0.5784 0.9396 1.0 1.0  16 16 
  0.5784 0.942 2.0 1.4142135623730951  16 17 
  0.5784 0.9444 2.0 1.4142135623730951  16 18 
  0.5784 0.9468 3.0 1.7320508075688772  16 19 
  0.5784 0.9492 18.0 4.242640687119285  16 20 
  0.5784 0.9516 21.0 4.58257569495584  16 21 
  0.5784 0.954 22.0 4.69041575982343  16 22 
  0.5784 0.9564 21.0 4.58257569495584  16 23 
  0.5784 0.9588 28.0 5.291502622129181  16 24 
  0.5784 0.9611999999999999 23.0 4.795831523312719  16 25 
  0.5784 0.9636 18.0 4.242640687119285  16 26 
  0.5784 0.966 6.0 2.449489742783178  16 27 
  0.5784 0.9684 6.0 2.449489742783178  16 28 
  0.5784 0.9708 6.0 2.449489742783178  16 29 
  0.5784 0.9732 5.0 2.23606797749979  16 30 
  0.5784 0.9756 4.0 2.0  16 31 
  0.5784 0.978 1.0 1.0  16 32 
  0.5784 0.9804 3.0 1.7320508075688772  16 33 
  0.5784 0.9876 1.0 1.0  16 36 
  0.5784 0.9948 1.0 1.0  16 39 
  0.5784 1.0139999999999998 1.0 1.0  16 47 
  0.588 0.906 1.0 1.0  17 2 
  0.588 0.9132 1.0 1.0  17 5 
  0.588 0.93 1.0 1.0  17 12 
  0.588 0.9324 1.0 1.0  17 13 
  0.588 0.9348 2.0 1.4142135623730951  17 14 
  0.588 0.9372 1.0 1.0  17 15 
  0.588 0.9396 1.0 1.0  17 16 
  0.588 0.942 2.0 1.4142135623730951  17 17 
  0.588 0.9444 9.0 3.0  17 18 
  0.588 0.9468 2.0 1.4142135623730951  17 19 
  0.588 0.9492 12.0 3.4641016151377544  17 20 
  0.588 0.9516 16.0 4.0  17 21 
  0.588 0.954 29.0 5.385164807134504  17 22 
  0.588 0.9564 35.0 5.916079783099616  17 23 
  0.588 0.9588 32.0 5.656854249492381  17 24 
  0.588 0.9611999999999999 12.0 3.4641016151377544  17 25 
  0.588 0.9636 13.0 3.605551275463989  17 26 
  0.588 0.966 3.0 1.7320508075688772  17 27 
  0.588 0.9684 5.0 2.23606797749979  17 28 
  0.588 0.9708 5.0 2.23606797749979  17 29 
  0.588 0.9732 2.0 1.4142135623730951  17 30 
  0.588 0.9756 5.0 2.23606797749979  17 31 
  0.588 0.978 1.0 1.0  17 32 
  0.588 0.9924 1.0 1.0  17 38 
  0.588 1.0019999999999998 1.0 1.0  17 42 
  0.5976 0.9036 1.0 1.0  18 1 
  0.5976 0.9228 1.0 1.0  18 9 
  0.5976 0.9348 1.0 1.0  18 14 
  0.5976 0.9372 3.0 1.7320508075688772  18 15 
  0.5976 0.942 3.0 1.7320508075688772  18 17 
  0.5976 0.9444 7.0 2.6457513110645907  18 18 
  0.5976 0.9468 4.0 2.0  18 19 
  0.5976 0.9492 14.0 3.7416573867739413  18 20 
  0.5976 0.9516 17.0 4.123105625617661  18 21 
  0.5976 0.954 27.0 5.196152422706632  18 22 
  0.5976 0.9564 30.0 5.477225575051661  18 23 
  0.5976 0.9588 36.0 6.0  18 24 
  0.5976 0.9611999999999999 22.0 4.69041575982343  18 25 
  0.5976 0.9636 22.0 4.69041575982343  18 26 
  0.5976 0.966 12.0 3.4641016151377544  18 27 
  0.5976 0.9684 9.0 3.0  18 28 
  0.5976 0.9708 6.0 2.449489742783178  18 29 
  0.5976 0.9732 5.0 2.23606797749979  18 30 
  0.5976 0.9756 5.0 2.23606797749979  18 31 
  0.5976 0.978 3.0 1.7320508075688772  18 32 
  0.5976 0.9804 1.0 1.0  18 33 
  0.5976 0.9828 1.0 1.0  18 34 
  0.5976 0.9995999999999999 1.0 1.0  18 41 
  0.5976 1.0188000000000001 2.0 1.4142135623730951  18 49 
  0.6072 0.9108 1.0 1.0  19 4 
  0.6072 0.9252 1.0 1.0  19 10 
  0.6072 0.9324 1.0 1.0  19 13 
  0.6072 0.942 6.0 2.449489742783178  19 17 
  0.6072 0.9444 7.0 2.6457513110645907  19 18 
  0.6072 0.9468 8.0 2.8284271247461903  19 19 
  0.6072 0.9492 8.0 2.8284271247461903  19 20 
  0.6072 0.9516 22.0 4.69041575982343  19 21 
  0.6072 0.954 18.0 4.242640687119285  19 22 
  0.6072 0.9564 37.0 6.082762530298219  19 23 
  0.6072 0.9588 30.0 5.477225575051661  19 24 
  0.6072 0.9611999999999999 25.0 5.0  19 25 
  0.6072 0.9636 21.0 4.58257569495584  19 26 
  0.6072 0.966 15.0 3.872983346207417  19 27 
  0.6072 0.9684 9.0 3.0  19 28 
  0.6072 0.9708 6.0 2.449489742783178  19 29 
  0.6072 0.9732 3.0 1.7320508075688772  19 30 
  0.6072 0.9756 3.0 1.7320508075688772  19 31 
  0.6072 0.9804 2.0 1.4142135623730951  19 33 
  0.6072 0.9924 1.0 1.0  19 38 
  0.6072 1.0164 1.0 1.0  19 48 
  0.6072 1.0188000000000001 1.0 1.0  19 49 
  0.6168 0.9012 1.0 1.0  20 0 
  0.6168 0.9276 1.0 1.0  20 11 
  0.6168 0.9324 3.0 1.7320508075688772  20 13 
  0.6168 0.9348 1.0 1.0  20 14 
  0.6168 0.9372 1.0 1.0  20 15 
  0.6168 0.9396 3.0 1.7320508075688772  20 16 
  0.6168 0.942 2.0 1.4142135623730951  20 17 
  0.6168 0.9444 6.0 2.449489742783178  20 18 
  0.6168 0.9468 8.0 2.8284271247461903  20 19 
  0.6168 0.9492 17.0 4.123105625617661  20 20 
  0.6168 0.9516 17.0 4.123105625617661  20 21 
  0.6168 0.954 36.0 6.0  20 22 
  0.6168 0.9564 35.0 5.916079783099616  20 23 
  0.6168 0.9588 30.0 5.477225575051661  20 24 
  0.6168 0.9611999999999999 30.0 5.477225575051661  20 25 
  0.6168 0.9636 24.0 4.898979485566356  20 26 
  0.6168 0.966 13.0 3.605551275463989  20 27 
  0.6168 0.9684 12.0 3.4641016151377544  20 28 
  0.6168 0.9708 4.0 2.0  20 29 
  0.6168 0.9732 5.0 2.23606797749979  20 30 
  0.6168 0.9756 2.0 1.4142135623730951  20 31 
  0.6168 0.978 1.0 1.0  20 32 
  0.6168 0.9924 2.0 1.4142135623730951  20 38 
  0.6168 1.0019999999999998 2.0 1.4142135623730951  20 42 
  0.6168 1.0091999999999999 1.0 1.0  20 45 
  0.6168 1.0188000000000001 1.0 1.0  20 49 
  0.6264 0.9348 1.0 1.0  21 14 
  0.6264 0.9372 3.0 1.7320508075688772  21 15 
  0.6264 0.9396 3.0 1.7320508075688772  21 16 
  0.6264 0.942 2.0 1.4142135623730951  21 17 
  0.6264 0.9444 9.0 3.0  21 18 
  0.6264 0.9468 10.0 3.1622776601683795  21 19 
  0.6264 0.9492 15.0 3.872983346207417  21 20 
  0.6264 0.9516 22.0 4.69041575982343  21 21 
  0.6264 0.954 27.0 5.196152422706632  21 22 
  0.6264 0.9564 34.0 5.830951894845301  21 23 
  0.6264 0.9588 55.0 7.416198487095663  21 24 
  0.6264 0.9611999999999999 23.0 4.795831523312719  21 25 
  0.6264 0.9636 21.0 4.58257569495584  21 26 
  0.6264 0.966 8.0 2.8284271247461903  21 27 
  0.6264 0.9684 7.0 2.6457513110645907  21 28 
  0.6264 0.9708 7.0 2.6457513110645907  21 29 
  0.6264 0.9732 7.0 2.6457513110645907  21 30 
  0.6264 0.9756 3.0 1.7320508075688772  21 31 
  0.6264 0.978 4.0 2.0  21 32 
  0.6264 0.9804 1.0 1.0  21 33 
  0.6264 0.9852 1.0 1.0  21 35 
  0.6264 0.9995999999999999 1.0 1.0  21 41 
  0.6264 1.0019999999999998 1.0 1.0  21 42 
  0.6264 1.0116 1.0 1.0  21 46 
  0.636 0.9228 2.0 1.4142135623730951  22 9 
  0.636 0.9276 1.0 1.0  22 11 
  0.636 0.9372 5.0 2.23606797749979  22 15 
  0.636 0.9396 2.0 1.4142135623730951  22 16 
  0.636 0.942 2.0 1.4142135623730951  22 17 
  0.636 0.9444 4.0 2.0  22 18 
  0.636 0.9468 11.0 3.3166247903554  22 19 
  0.636 0.9492 11.0 3.3166247903554  22 20 
  0.636 0.9516 24.0 4.898979485566356  22 21 
  0.636 0.954 25.0 5.0  22 22 
  0.636 0.9564 45.0 6.708203932499369  22 23 
  0.636 0.9588 38.0 6.164414002968976  22 24 
  0.636 0.9611999999999999 21.0 4.58257569495584  22 25 
  0.636 0.9636 22.0 4.69041575982343  22 26 
  0.636 0.966 17.0 4.123105625617661  22 27 
  0.636 0.9684 14.0 3.7416573867739413  22 28 
  0.636 0.9708 4.0 2.0  22 29 
  0.636 0.9732 4.0 2.0  22 30 
  0.636 0.9756 3.0 1.7320508075688772  22 31 
  0.636 0.978 1.0 1.0  22 32 
  0.636 0.9804 3.0 1.7320508075688772  22 33 
  0.636 0.9828 1.0 1.0  22 34 
  0.636 0.9852 1.0 1.0  22 35 
  0.636 0.99 1.0 1.0  22 37 
  0.636 0.9924 2.0 1.4142135623730951  22 38 
  0.636 0.9948 2.0 1.4142135623730951  22 39 
  0.636 0.9972 1.0 1.0  22 40 
  0.636 1.0068000000000001 1.0 1.0  22 44 
  0.636 1.0139999999999998 1.0 1.0  22 47 
  0.6456 0.93 1.0 1.0  23 12 
  0.6456 0.9372 2.0 1.4142135623730951  23 15 
  0.6456 0.9396 3.0 1.7320508075688772  23 16 
  0.6456 0.942 4.0 2.0  23 17 
  0.6456 0.9444 7.0 2.6457513110645907  23 18 
  0.6456 0.9468 11.0 3.3166247903554  23 19 
  0.6456 0.9492 19.0 4.358898943540674  23 20 
  0.6456 0.9516 27.0 5.196152422706632  23 21 
  0.6456 0.954 31.0 5.5677643628300215  23 22 
  0.6456 0.9564 41.0 6.4031242374328485  23 23 
  0.6456 0.9588 34.0 5.830951894845301  23 24 
  0.6456 0.9611999999999999 23.0 4.795831523312719  23 25 
  0.6456 0.9636 20.0 4.47213595499958  23 26 
  0.6456 0.966 10.0 3.1622776601683795  23 27 
  0.6456 0.9684 12.0 3.4641016151377544  23 28 
  0.6456 0.9708 8.0 2.8284271247461903  23 29 
  0.6456 0.9732 6.0 2.449489742783178  23 30 
  0.6456 0.9756 4.0 2.0  23 31 
  0.6456 0.978 2.0 1.4142135623730951  23 32 
  0.6456 0.9828 1.0 1.0  23 34 
  0.6456 0.9852 2.0 1.4142135623730951  23 35 
  0.6456 0.9876 1.0 1.0  23 36 
  0.6456 1.0068000000000001 1.0 1.0  23 44 
  0.6456 1.0139999999999998 1.0 1.0  23 47 
  0.6456 1.0164 1.0 1.0  23 48 
  0.6552 0.9348 2.0 1.4142135623730951  24 14 
  0.6552 0.9372 6.0 2.449489742783178  24 15 
  0.6552 0.9396 2.0 1.4142135623730951  24 16 
  0.6552 0.942 6.0 2.449489742783178  24 17 
  0.6552 0.9444 8.0 2.8284271247461903  24 18 
  0.6552 0.9468 15.0 3.872983346207417  24 19 
  0.6552 0.9492 19.0 4.358898943540674  24 20 
  0.6552 0.9516 30.0 5.477225575051661  24 21 
  0.6552 0.954 40.0 6.324555320336759  24 22 
  0.6552 0.9564 30.0 5.477225575051661  24 23 
  0.6552 0.9588 43.0 6.557438524302  24 24 
  0.6552 0.9611999999999999 29.0 5.385164807134504  24 25 
  0.6552 0.9636 22.0 4.69041575982343  24 26 
  0.6552 0.966 13.0 3.605551275463989  24 27 
  0.6552 0.9684 12.0 3.4641016151377544  24 28 
  0.6552 0.9708 8.0 2.8284271247461903  24 29 
  0.6552 0.9732 5.0 2.23606797749979  24 30 
  0.6552 0.9756 4.0 2.0  24 31 
  0.6552 0.978 3.0 1.7320508075688772  24 32 
  0.6552 0.9804 3.0 1.7320508075688772  24 33 
  0.6552 0.9828 1.0 1.0  24 34 
  0.6552 0.99 2.0 1.4142135623730951  24 37 
  0.6552 1.0044 1.0 1.0  24 43 
  0.6552 1.0139999999999998 1.0 1.0  24 47 
  0.6552 1.0164 1.0 1.0  24 48 
  0.6648 0.9036 1.0 1.0  25 1 
  0.6648 0.9348 2.0 1.4142135623730951  25 14 
  0.6648 0.9372 3.0 1.7320508075688772  25 15 
  0.6648 0.9396 2.0 1.4142135623730951  25 16 
  0.6648 0.942 1.0 1.0  25 17 
  0.6648 0.9444 10.0 3.1622776601683795  25 18 
  0.6648 0.9468 11.0 3.3166247903554  25 19 
  0.6648 0.9492 18.0 4.242640687119285  25 20 
  0.6648 0.9516 26.0 5.0990195135927845  25 21 
  0.6648 0.954 35.0 5.916079783099616  25 22 
  0.6648 0.9564 51.0 7.14142842854285  25 23 
  0.6648 0.9588 42.0 6.48074069840786  25 24 
  0.6648 0.9611999999999999 34.0 5.830951894845301  25 25 
  0.6648 0.9636 34.0 5.830951894845301  25 26 
  0.6648 0.966 17.0 4.123105625617661  25 27 
  0.6648 0.9684 18.0 4.242640687119285  25 28 
  0.6648 0.9708 3.0 1.7320508075688772  25 29 
